data,estado,nomeCidade,codigo,casos,mortes
2020-07-26,MA,Presidente Juscelino,210920,0,0
2020-09-09,GO,Santa Terezinha de Goiás,521970,0,0
2020-06-01,BA,Fátima,291075,0,0
2020-07-06,BA,Itaparica,291610,2,3
2020-08-12,MA,Bacabeira,210125,1,2
2020-08-30,GO,Uruaçu,522160,0,9
2020-06-12,AL,São Miguel dos Milagres,270870,0,2
2020-07-29,BA,Santaluz,292800,3,4
2020-10-01,CE,Bela Cruz,230230,2,23
2020-05-03,MG,Juramento,313680,0,0
2020-11-17,BA,Itaeté,291500,0,3
2020-04-13,CE,Paracuru,231020,0,0
2020-09-22,BA,Santaluz,292800,15,9
2020-08-16,BA,Pilão Arcado,292440,0,0
2020-05-15,ES,Nova Venécia,320390,0,1
2020-10-02,MA,Buritirana,210235,0,6
2020-08-18,AM,Maués,130290,0,33
2020-09-23,BA,Cícero Dantas,290780,1,6
2020-05-07,GO,Santa Cruz de Goiás,521920,0,0
2020-09-27,BA,Morro do Chapéu,292170,1,2
2020-09-09,MG,Icaraí de Minas,313005,0,1
2020-05-09,MG,Frei Inocêncio,312690,0,0
2020-06-24,BA,Macururé,291990,0,0
2020-07-29,ES,Mucurici,320360,0,1
2020-06-23,BA,São Desidério,292890,0,0
2020-08-08,BA,Dias d'Ávila,291005,19,19
2020-09-08,AM,Itacoatiara,130190,0,64
2020-05-12,BA,Dom Macedo Costa,291020,0,0
2020-11-21,MA,Pirapemas,210880,0,3
2020-04-01,BA,Coronel João Sá,290920,0,0
2020-09-28,MG,Felício dos Santos,312540,0,1
2020-07-03,BA,Andaraí,290130,0,0
2020-06-22,MG,Luminárias,313870,0,0
2020-07-05,MA,João Lisboa,210550,0,7
2020-06-29,GO,Alvorada do Norte,520080,0,0
2020-06-22,AM,Silves,130400,1,4
2020-11-13,MG,Ipanema,313120,12,7
2020-10-02,GO,Nova Glória,521486,2,4
2020-11-16,ES,Vila Valério,320517,5,12
